Entity	Class	Table	Property	Columns	Type	Kind
NetCity.Integration.FoodModule.Model.DishContent	NetCity.Integration.FoodModule.Model.DishContent	DISHCONTENTS	Id	ID	Int32	id
NetCity.Integration.FoodModule.Model.DishContent	NetCity.Integration.FoodModule.Model.DishContent	DISHCONTENTS	Weight	WEIGHT	Decimal	property
NetCity.Integration.FoodModule.Model.DishContent	NetCity.Integration.FoodModule.Model.DishContent	DISHCONTENTS	Product	PRODUCTID	NetCity.Integration.FoodModule.Model.FoodProduct	many-to-one
NetCity.Integration.FoodModule.Model.DishContent	NetCity.Integration.FoodModule.Model.DishContent	DISHCONTENTS	Dish	DISHID	NetCity.Integration.FoodModule.Model.FoodDish	many-to-one
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	Id	ID	Int32	id
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	Contents		System.Collections.Generic.ISet`1[[NetCity.Integration.FoodModule.Model.DishContent, NetCity.Integration.FoodModule, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=null]](NetCity.Integration.FoodModule.Model.FoodDish.Contents)	collection
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	Name	NAME	String	property
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	Fats	FATS	Decimal	property
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	Proteins	PROTEINS	Decimal	property
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	RecipeText	RECIPETEXT	String	property
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	RecipeNumber	RECIPENUMBER	String	property
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	CaloricValue	CALORICVALUE	Decimal	property
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	Carbohydrate	CARBOHYDRATE	Decimal	property
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	VitaminC	VITAMINC	Decimal	property
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	SchoolId	SCHOOLID	Int32	property
NetCity.Integration.FoodModule.Model.FoodDish	NetCity.Integration.FoodModule.Model.FoodDish	FOODDISHES	IsDeleted	ISDELETED	Boolean	property
NetCity.Integration.FoodModule.Model.FoodProduct	NetCity.Integration.FoodModule.Model.FoodProduct	FOODPRODUCTS	Id	ID	Int32	id
NetCity.Integration.FoodModule.Model.FoodProduct	NetCity.Integration.FoodModule.Model.FoodProduct	FOODPRODUCTS	Name	NAME	String	property
NetCity.Integration.FoodModule.Model.FoodProduct	NetCity.Integration.FoodModule.Model.FoodProduct	FOODPRODUCTS	SchoolId	SCHOOLID	Int32	property
NetCity.Integration.FoodModule.Model.FoodProduct	NetCity.Integration.FoodModule.Model.FoodProduct	FOODPRODUCTS	IsDeleted	ISDELETED	Boolean	property
NetCity.Integration.FoodModule.Model.MealMenuContent	NetCity.Integration.FoodModule.Model.MealMenuContent	MEALMENUCONTENTS	Id	ID	Int32	id
NetCity.Integration.FoodModule.Model.MealMenuContent	NetCity.Integration.FoodModule.Model.MealMenuContent	MEALMENUCONTENTS	Weight	WEIGHT	Decimal	property
NetCity.Integration.FoodModule.Model.MealMenuContent	NetCity.Integration.FoodModule.Model.MealMenuContent	MEALMENUCONTENTS	DayMenu	DAYMENUID	NetCity.Integration.FoodModule.Model.SchoolDayMenu	many-to-one
NetCity.Integration.FoodModule.Model.MealMenuContent	NetCity.Integration.FoodModule.Model.MealMenuContent	MEALMENUCONTENTS	Dish	DISHID	NetCity.Integration.FoodModule.Model.FoodDish	many-to-one
NetCity.Integration.FoodModule.Model.SchoolDayMenu	NetCity.Integration.FoodModule.Model.SchoolDayMenu	SCHOOLDAYMEALMENUS	Id	ID	Int32	id
NetCity.Integration.FoodModule.Model.SchoolDayMenu	NetCity.Integration.FoodModule.Model.SchoolDayMenu	SCHOOLDAYMEALMENUS	Contents		System.Collections.Generic.ISet`1[[NetCity.Integration.FoodModule.Model.MealMenuContent, NetCity.Integration.FoodModule, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=null]](NetCity.Integration.FoodModule.Model.SchoolDayMenu.Contents)	collection
NetCity.Integration.FoodModule.Model.SchoolDayMenu	NetCity.Integration.FoodModule.Model.SchoolDayMenu	SCHOOLDAYMEALMENUS	DayNum	DAYNUM	Int32	property
NetCity.Integration.FoodModule.Model.SchoolDayMenu	NetCity.Integration.FoodModule.Model.SchoolDayMenu	SCHOOLDAYMEALMENUS	EatingTime	EATINGTIMEID	NetCity.Integration.FoodModule.Model.MealMenuEatingTime	many-to-one
NetCity.Integration.FoodModule.Model.SchoolDayMenu	NetCity.Integration.FoodModule.Model.SchoolDayMenu	SCHOOLDAYMEALMENUS	Menu	MENUID	NetCity.Integration.FoodModule.Model.SchoolMealMenu	many-to-one
NetCity.Integration.FoodModule.Model.MealMenuEatingTime	NetCity.Integration.FoodModule.Model.MealMenuEatingTime	SCHOOLEATINGTIMES	Id	ID	Int32	id
NetCity.Integration.FoodModule.Model.MealMenuEatingTime	NetCity.Integration.FoodModule.Model.MealMenuEatingTime	SCHOOLEATINGTIMES	Start	STARTTIME	DateTime	property
NetCity.Integration.FoodModule.Model.MealMenuEatingTime	NetCity.Integration.FoodModule.Model.MealMenuEatingTime	SCHOOLEATINGTIMES	End	ENDTIME	DateTime	property
NetCity.Integration.FoodModule.Model.MealMenuEatingTime	NetCity.Integration.FoodModule.Model.MealMenuEatingTime	SCHOOLEATINGTIMES	Type	TYPEID	NHibernate.Type.EnumType`1[[NetCity.Integration.FoodModule.Model.EatingType, NetCity.Integration.FoodModule, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=null]], NHibernate	property
NetCity.Integration.FoodModule.Model.MealMenuEatingTime	NetCity.Integration.FoodModule.Model.MealMenuEatingTime	SCHOOLEATINGTIMES	Menu	MENUID	NetCity.Integration.FoodModule.Model.SchoolMealMenu	many-to-one
NetCity.Integration.FoodModule.Model.SchoolMealMenu	NetCity.Integration.FoodModule.Model.SchoolMealMenu	SCHOOLSMEALMENUS	Id	ID	Int32	id
NetCity.Integration.FoodModule.Model.SchoolMealMenu	NetCity.Integration.FoodModule.Model.SchoolMealMenu	SCHOOLSMEALMENUS	EatingTimes		System.Collections.Generic.ISet`1[[NetCity.Integration.FoodModule.Model.MealMenuEatingTime, NetCity.Integration.FoodModule, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=null]](NetCity.Integration.FoodModule.Model.SchoolMealMenu.EatingTimes)	collection
NetCity.Integration.FoodModule.Model.SchoolMealMenu	NetCity.Integration.FoodModule.Model.SchoolMealMenu	SCHOOLSMEALMENUS	DayMenu		System.Collections.Generic.ISet`1[[NetCity.Integration.FoodModule.Model.SchoolDayMenu, NetCity.Integration.FoodModule, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=null]](NetCity.Integration.FoodModule.Model.SchoolMealMenu.DayMenu)	collection
NetCity.Integration.FoodModule.Model.SchoolMealMenu	NetCity.Integration.FoodModule.Model.SchoolMealMenu	SCHOOLSMEALMENUS	Name	NAME	String	property
NetCity.Integration.FoodModule.Model.SchoolMealMenu	NetCity.Integration.FoodModule.Model.SchoolMealMenu	SCHOOLSMEALMENUS	SchoolId	SCHOOLID	Int32	property
NetCity.Integration.FoodModule.Model.SchoolMealMenu	NetCity.Integration.FoodModule.Model.SchoolMealMenu	SCHOOLSMEALMENUS	DouGroupAgeId	DOUGROUPAGEID	Int32	property
NetCity.Integration.FoodModule.Model.SchoolMealMenu	NetCity.Integration.FoodModule.Model.SchoolMealMenu	SCHOOLSMEALMENUS	DouGroupRegimeId	DOUGROUPREGIMEID	Int32	property
NetCity.Integration.FoodModule.Model.SchoolMealMenu	NetCity.Integration.FoodModule.Model.SchoolMealMenu	SCHOOLSMEALMENUS	Season	SEASONTYPE	NHibernate.Type.EnumType`1[[NetCity.Integration.FoodModule.Model.MealMenuSeasonType, NetCity.Integration.FoodModule, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=null]], NHibernate	property
NetCity.Integration.FoodModule.Model.SchoolMealMenu	NetCity.Integration.FoodModule.Model.SchoolMealMenu	SCHOOLSMEALMENUS	Status	STATUS	NHibernate.Type.EnumType`1[[NetCity.Integration.FoodModule.Model.MealMenuStatusType, NetCity.Integration.FoodModule, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=null]], NHibernate	property
NetCity.Integration.FoodModule.Model.SchoolMealMenu	NetCity.Integration.FoodModule.Model.SchoolMealMenu	SCHOOLSMEALMENUS	IsDeleted	ISDELETED	Boolean	property
NetCity.Integration.FoodPayModule.Model.FoodPayBalance	NetCity.Integration.FoodPayModule.Model.FoodPayBalance	FOODPAY_BALANCE	Id	ID	Int32	id
NetCity.Integration.FoodPayModule.Model.FoodPayBalance	NetCity.Integration.FoodPayModule.Model.FoodPayBalance	FOODPAY_BALANCE	NumMonth	NUMMONTH	Int32	property
NetCity.Integration.FoodPayModule.Model.FoodPayBalance	NetCity.Integration.FoodPayModule.Model.FoodPayBalance	FOODPAY_BALANCE	StartMonth	STARTMONTH	DateTime	property
NetCity.Integration.FoodPayModule.Model.FoodPayBalance	NetCity.Integration.FoodPayModule.Model.FoodPayBalance	FOODPAY_BALANCE	Balance	BALANCE	Decimal	property
NetCity.Integration.FoodPayModule.Model.FoodPayBalance	NetCity.Integration.FoodPayModule.Model.FoodPayBalance	FOODPAY_BALANCE	School	SCHOOLID	NetCity.Common.ObjectModel.Nhibernate.Organizations.School	many-to-one
NetCity.Integration.FoodPayModule.Model.FoodPayBalance	NetCity.Integration.FoodPayModule.Model.FoodPayBalance	FOODPAY_BALANCE	Student	STUDENTID	NetCity.Common.ObjectModel.Nhibernate.Users.Student	many-to-one
